,title,price,link
10,"Acer Aspire 3 Intel Core i3-N305 Processor Laptop with 35.56 cm (14"") Full HD LED-Backlit IPS Display (8 GB RAM/512 GB SSD/Intel Graphics/Win11 Home/38Wh) A324-31, Steel Gray, 1.45KG  ","25,970",https://amazon.in//Acer-Processor-LED-Backlit-Graphics-A324-31/dp/B0DF2XN36M/ref=sr_1_9?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-9
11,HP 15s Core i5 12th Gen (16GB RAM/512GB SSD/FHD/MS Office 21 /Backlit Keyboard /15.6-inch (39.6 cm)/FHD/Windows 11/Silver/1.69 kg) fy5009TU/fd0111tu Laptop  ,"49,990",https://amazon.in//HP-Keyboard-15-6-inch-fy5009TU-fd0111tu/dp/B0D4M66F6R/ref=sr_1_10?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-10
12,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","19,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_3?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-3
13,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.62cm (15.6"") IPS Full HD, Backlit Keyboard, Pure Silver, 1.7KG  ","41,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2OTE0MzQwMTAxODU4MTU1OjE3Mjk2NTUxMTY6c3BfbXRmOjMwMDMyNTkyMDk2MzczMjo6MDo6&url=%2FAcer-i5-12450H-Windows11Home-AL15-52H-Keyboard%2Fdp%2FB0DDL495SX%2Fref%3Dsr_1_11_sspa%3Fcrid%3D4DC3J2RVS6HW%26dib%3DeyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729655116%26sprefix%3Dlaptop%252Caps%252C224%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
14,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","38,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2OTE0MzQwMTAxODU4MTU1OjE3Mjk2NTUxMTY6c3BfbXRmOjMwMDIwODAzODQ5MTAzMjo6MDo6&url=%2FAcer-i5-1235U-Windows-Graphics-AL15-52%2Fdp%2FB0CLTW4D7T%2Fref%3Dsr_1_12_sspa%3Fcrid%3D4DC3J2RVS6HW%26dib%3DeyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729655116%26sprefix%3Dlaptop%252Caps%252C224%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
15,"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU  ","35,990",https://amazon.in//HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_13?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-13
16,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","27,990",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_14?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-14
17,"ASUS X515, 15.6"" FHD (1920 x 1080) 16:9, 60Hz 200nits, Intel Pentium Gold 7505, Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11/Office Home/37WHr Battery/Transparent Silver/1.80 kg), X1500EA-EJ122WS  ","23,990",https://amazon.in//ASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ122WS/dp/B0CZ3K42DX/ref=sr_1_15?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-15
18,"Acer Chromebook Intel Celeron N4500 Processor (Chrome OS/8 GB RAM/128 GB eMMC/WiFi 6) CB315-4H with 39.6 cm (15.6"") Full HD LED Backlit TFT LCD, Silver, 1.6 KG  ","16,990",https://amazon.in//Acer-Chromebook-Celeron-Processor-CB315-4H/dp/B0DH4M1MJ3/ref=sr_1_16?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-16
19,"HP Laptop 240 G8 (2024), Intel Core i5 11th Gen 1135G7 - (16GB/512GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/14 (35.56cm)/Black/1.47 kg/MS Office 2021 Pro Plus  ","43,990",https://amazon.in//HP-Laptop-240-Intel-1135G7/dp/B0DJCQPNZ8/ref=sr_1_17?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-17
